"","x"
"1",41
"2",36
"3",12
"4",18
"5",28
"6",23
"7",19
"8",8
"9",7
"10",16
"11",11
"12",14
"13",18
"14",14
"15",34
"16",6
"17",30
"18",11
"19",1
"20",11
"21",4
"22",32
"23",23
"24",45
"25",115
"26",37
"27",29
"28",71
"29",39
"30",23
"31",21
"32",37
"33",20
"34",12
"35",13
"36",135
"37",49
"38",32
"39",64
"40",40
"41",77
"42",97
"43",97
"44",85
"45",10
"46",27
"47",7
"48",48
"49",35
"50",61
"51",79
"52",63
"53",16
"54",80
"55",108
"56",20
"57",52
"58",82
"59",50
"60",64
"61",59
"62",39
"63",9
"64",16
"65",78
"66",35
"67",66
"68",122
"69",89
"70",110
"71",44
"72",28
"73",65
"74",22
"75",59
"76",23
"77",31
"78",44
"79",21
"80",9
"81",45
"82",168
"83",73
"84",76
"85",118
"86",84
"87",85
"88",96
"89",78
"90",73
"91",91
"92",47
"93",32
"94",20
"95",23
"96",21
"97",24
"98",44
"99",21
"100",28
"101",9
"102",13
"103",46
"104",18
"105",13
"106",24
"107",16
"108",13
"109",23
"110",36
"111",7
"112",14
"113",30
"114",14
"115",18
"116",20
"117",190
"118",118
"119",149
"120",313
"121",299
"122",99
"123",19
"124",194
"125",256
"126",290
"127",274
"128",65
"129",334
"130",307
"131",78
"132",322
"133",44
"134",8
"135",320
"136",25
"137",92
"138",66
"139",266
"140",13
"141",252
"142",223
"143",279
"144",286
"145",287
"146",242
"147",186
"148",220
"149",264
"150",127
"151",273
"152",291
"153",323
"154",259
"155",250
"156",148
"157",332
"158",322
"159",191
"160",284
"161",37
"162",120
"163",137
"164",150
"165",59
"166",91
"167",250
"168",135
"169",127
"170",47
"171",98
"172",31
"173",138
"174",269
"175",248
"176",236
"177",101
"178",175
"179",314
"180",276
"181",267
"182",272
"183",175
"184",139
"185",264
"186",175
"187",291
"188",48
"189",260
"190",274
"191",285
"192",187
"193",220
"194",7
"195",258
"196",295
"197",294
"198",223
"199",81
"200",82
"201",213
"202",275
"203",253
"204",254
"205",83
"206",24
"207",77
"208",255
"209",229
"210",207
"211",222
"212",137
"213",192
"214",273
"215",157
"216",64
"217",71
"218",51
"219",115
"220",244
"221",190
"222",259
"223",36
"224",255
"225",212
"226",238
"227",215
"228",153
"229",203
"230",225
"231",237
"232",188
"233",167
"234",197
"235",183
"236",189
"237",95
"238",92
"239",252
"240",220
"241",230
"242",259
"243",236
"244",259
"245",238
"246",24
"247",112
"248",237
"249",224
"250",27
"251",238
"252",201
"253",238
"254",14
"255",139
"256",49
"257",20
"258",193
"259",145
"260",191
"261",131
"262",223
"263",7.4
"264",8
"265",12.6
"266",11.5
"267",14.3
"268",14.9
"269",8.6
"270",13.8
"271",20.1
"272",8.6
"273",6.9
"274",9.7
"275",9.2
"276",10.9
"277",13.2
"278",11.5
"279",12
"280",18.4
"281",11.5
"282",9.7
"283",9.7
"284",16.6
"285",9.7
"286",12
"287",16.6
"288",14.9
"289",8
"290",12
"291",14.9
"292",5.7
"293",7.4
"294",8.6
"295",9.7
"296",16.1
"297",9.2
"298",8.6
"299",14.3
"300",9.7
"301",6.9
"302",13.8
"303",11.5
"304",10.9
"305",9.2
"306",8
"307",13.8
"308",11.5
"309",14.9
"310",20.7
"311",9.2
"312",11.5
"313",10.3
"314",6.3
"315",1.7
"316",4.6
"317",6.3
